hwdR;posR;schAccentR_Walker;schAccentR_Buchanan
abasement;noun;0-1-0;0-1-0-0
abatement;noun;0-1-0;0-1-0-0
abdomen;noun;0-1-0;0-0-0
ablution;noun;0-1-0;1-0-0
abortiveness;noun;0-1-0-0;0-1-0-0-0
absoluteness;noun;1-0-0-0;1-0-0-0-0
abstruseness;noun;0-1-0;0-1-0-0
academian;noun;0-0-1-0-0;0-0-1-0
academist;noun;0-1-0-0 or 1-0-0-0;0-1-0-0
academy;noun;0-1-0-0 or 1-0-0-0;0-1-0-0
accend;verb;1-0;0-1
acceptableness;noun;1-0-0-0-0;0-1-0-0-0
accloy;verb;0-1;0-0
accumulator;noun;0-1-0-0-0;0-0-0-1-0
accurateness;noun;1-0-0-0;1-0-0-0-0
accustom;verb;0-1-0;0-0-0
acme;noun;1-0;1
acre;noun;1-0;1
activeness;noun;1-0-0;1-0-0-0
acuteness;noun;0-1-0;0-1-0-0
additament;noun;0-1-0-0;0-0-0-0
adminicle;noun;0-1-0-0;0-1-0
administrator;noun;1-0-0-1-0;0-0-0-1-0
administratrix;noun;1-0-0-1-0;0-0-0-1-0
advancement;noun;0-1-0;0-1-0-0
advertisement;noun;0-1-0-0-0-1-0;0-1-0-0-0
aerie;noun;1-0;0-1-0
aerology;noun;0-0-1-0-0;0-1-0-0
aeromancy;noun;1-0-0-0-0;1-0-0-0
aerometry;noun;0-0-1-0-0;0-1-0-0
aeroscopy;noun;0-0-1-0-0;0-1-0-0
afternoon;noun;1-0-1;1-0-0
agreeableness;noun;0-1-0-0-0;0-0-0-0
alabaster;noun;1-0-0-0;0-0-1-0
alcoran;noun;1-0-0;0-0-0
alcove;noun;0-1;1-0
alebrewer;noun;1-0-0;1-0-0-0
aleconner;noun;1-0-0;1-0-0-0
alien;noun;1-0;0-0
allegorize;verb;1-0-0-0;0-0-0-1
allodium;noun;0-1-0-0;0-1-0
allurement;noun;0-1-0;0-1-0-0
aludel;noun;1-0-0;0-1-0
amazement;noun;0-1-0;0-1-0-0
amercement;noun;0-1-0;0-1-0-0
amiableness;noun;1-0-0-0-0;1-0-0-0
amortizement;noun;0-1-0-0;0-1-0-0-0
amusement;noun;0-1-0;0-1-0-0
anastrophe;noun;0-1-0-0;0-1-0
anchovy;noun;0-1-0;1-0-0
anemoscope;noun;0-1-0-0;1-0-0-0
anguish;noun;1-0;1-0-0
antepenult;noun;0-0-0-1;1-0-0-0
anthropology;noun;1-0-1-0-0;0-0-1-0-0
anthropophagi;noun;1-0-1-0-0;0-0-1-0-0
anthropophagy;noun;1-0-1-0-0;0-0-1-0-0
anticipation;noun;1-0-0-1-0;0-0-0-1-0
antiqueness;noun;0-1-0;1-0-0
antistrophe;noun;0-1-0-0;0-1-0
aphelion;noun;0-1-0-0;0-1-0
apophthegm;noun;1-0-0;0-0-0
apostle;noun;0-1-0;0-1
apostrophe;noun;0-1-0-0;0-1-0
apostume;noun;1-0-0;0-1-0
apple;noun;1-0;1
apply;verb;0-1;0-0
appositeness;noun;1-0-0-0;1-0-0-0-0
appraiser;noun;0-1-0;0-0-0
apprenticeship;noun;0-1-0-0;0-1-0-0-0
arbitrator;noun;1-0-0-0;0-0-1-0
arbute;noun;0-1;1-0
architecture;noun;1-0-0-0;0-0-1-0
archives;noun;1-0;1-0-0
arduousness;noun;1-0-0-0;0-0-0-0
aridity;noun;0-1-0-0;1-0-0-0
aromatize;verb;1-0-0-0;0-0-0-1
arraignment;noun;0-1-0;1-0-0
arrangement;noun;0-1-0;0-1-0-0
assayer;noun;0-1-0;0-0-0
assemble;verb;0-1-0;0-1
assets;noun;1-0;0-1
asylum;noun;0-1-0;1-0-0
asymptote;noun;1-0-0;0-1-0
atonement;noun;0-1-0;0-1-0-0
atticism;noun;1-0-0;0-1-0
audience;noun;1-0-0;1-0
averseness;noun;0-1-0;0-1-0-0
avowry;noun;0-1-0;0-0-0
auricle;noun;1-0-0;1-0
awfulness;noun;1-0-0;0-0-0
axiom;noun;1-0;1-0-0
baboon;noun;0-1;1-0
balcony;noun;0-1-0;1-0-0
barker;noun;1-0;0-0
barnacle;noun;1-0-0;1-0
barrier;noun;1-0-0;0-1
baseness;noun;1-0;1-0-0
bawble;noun;1-0;1
beadle;noun;1-0;1
beagle;noun;1-0;1
beatitude;noun;0-1-0-0;0-1-0-0-0
bedaggle;verb;0-1-0;0-1
beetle;noun;1-0;1
behaviour;noun;0-1-0;0-1-0-0
belay;verb;0-1;0-0
berlin;noun;0-1;1-0
