headword;pronunciation;POS;accent;schAccent;schGraph;nbSyll;page
['abacus'];['a(ba(ku(ss'];['/n/lat/'];['a@bacus'];['100'];['V1CVCVC'];['3'];['abacus-ablation']
['abaft'];['a(baft'];['/adv/'];['aba@ft'];['01'];['VCV1CC'];['2'];['abacus-ablation']
['abandon'];['a(ba(ndu(n'];['/v/'];['aba@ndon'];['010'];['VCV1CCVC'];['3'];['abacus-ablation']
['abandoned'];['a(ba(ndu(ni(d'];['/adj/'];['aba@ndoned'];['0100'];['VCV1CCVCVC'];['4'];['abacus-ablation']
['abase'];['a(baiss'];['/v/'];['aba@se'];['01'];['VCV1CV'];['2'];['abacus-ablation']
['abasement'];['a(baissmi(nt'];['/n/'];['aba@sement'];['0100'];['VCV1CVCVCC'];['4'];['abacus-ablation']
['abash'];['a(ba(sh'];['/v/'];['aba@sh'];['01'];['VCV1CC'];['2'];['abacus-ablation']
['abate'];['a(bait'];['/v/'];['aba@te'];['01'];['VCV1CV'];['2'];['abacus-ablation']
['abatement'];['a(baitmi(nt'];['/n/'];['aba@tement'];['0100'];['VCV1CVCVCC'];['4'];['abacus-ablation']
['abbess'];['a(bi(ss'];['/n/'];['a@bbess'];['10'];['V1CCVCC'];['2'];['abacus-ablation']
['abbot'];['a(bu(t'];['/n/'];['a@bbot'];['10'];['V1CCVC'];['2'];['abacus-ablation']
['abbreviate'];['a(bre(vi(ai(t'];['/v/'];['abbre@viate'];['0100'];['VCCCV1CVVCV'];['4'];['abacus-ablation']
['abbreviation'];['a(bre(vi(aishun'];['/n/'];['abbrevia@tion'];['00010'];['VCCCVCVV1CVVC'];['5'];['abacus-ablation']
['abdicate'];['a(bdi(kait'];['/v/'];['a@bdicate'];['100'];['V1CCVCVCV'];['3'];['abacus-ablation']
['abdication'];['a(bdi(kaishun'];['/n/'];['abdica@tion'];['0010'];['VCCVCV1CVVC'];['4'];['abacus-ablation']
['abdomen'];['a(bdomi(n'];['/n/'];['abdomen'];['000'];['VCCVCVC'];['3'];['abacus-ablation']
['aberration'];['a(be(raishun'];['/n/'];['aberra@tion'];['0010'];['VCVCCV1CVVC'];['4'];['abacus-ablation']
['abet'];['a(be(t'];['/v/'];['abe@t'];['01'];['VCV1C'];['2'];['abacus-ablation']
['abettor'];['a(be(tu(r'];['/n/'];['abe@ttor'];['010'];['VCV1CCVC'];['3'];['abacus-ablation']
['abhor'];['a(bho(r'];['/v/'];['abho@r'];['01'];['VCCV1C'];['2'];['abacus-ablation']
['abide'];['aibi)d'];['/v/'];['abi@de'];['01'];['VCV1CV'];['2'];['abacus-ablation']
['abject'];['a(bje(kt'];['/adj/v/'];['a@bject'];['10'];['V1CCVCC'];['2'];['abacus-ablation']
['ability'];['a(bi(li(ty('];['/n/'];['abi@lity'];['0100'];['VCV1CVCV'];['4'];['abacus-ablation']
['abintestate'];['a(bi(nte(stait'];['/adj/'];['abinte@state'];['0010'];['VCVCCV1CCVCV'];['4'];['abacus-ablation']
['abjuration'];['a(bjoo(raishun'];['/n/'];['abjura@tion'];['0010'];['VCCVCV1CVVC'];['4'];['abacus-ablation']
['abjure'];['a(bjoor'];['/v/'];['abju@re'];['01'];['VCCV1CV'];['2'];['abacus-ablation']
['ablation'];['a(blaishun'];['/n/'];['abla@tion'];['010'];['VCCV1CVVC'];['3'];['abacus-ablation']
['ablative'];['a(bli(ti(v'];['/n/adj/'];['a@blative'];['100'];['V1CCVCVCV'];['3'];['ablative-abruptness']
['ablepsy'];['a(ble(psy'];['/n/'];['a@blepsy'];['100'];['V1CCVCCV'];['3'];['ablative-abruptness']
['abluent'];['a(bleui(nt'];['/adj/'];['a@bluent'];['100'];['V1CCVVCC'];['3'];['ablative-abruptness']
